case,city,date,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,race,gender,latitude,longitude,type,year
Pennsylvania carwash shooting,"Melcroft, Pennsylvania",2018-01-28,4,1.0,5.0,Other,28.0,,,White,Male,40.052151,-79.389166,Mass,2018
Rancho Tehama shooting spree,"Rancho Tehama, California",2017-11-14,5,10.0,15.0,Other,44.0,,False,White,Male,40.018759,-122.393089,Spree,2017
Texas First Baptist Church massacre,"Sutherland Springs, Texas",2017-11-05,26,20.0,46.0,Religious,26.0,True,,White,Male,29.273282,-98.056488,Mass,2017
Walmart shooting in suburban Denver,"Thornton, Colorado",2017-11-01,3,0.0,3.0,Other,47.0,,,White,Male,39.876374,-104.986132,Mass,2017
Edgewood businees park shooting,"Edgewood, Maryland",2017-10-18,3,3.0,6.0,Workplace,37.0,,False,Black,Male,39.452189,-76.309988,Mass,2017
Las Vegas Strip massacre,"Las Vegas, Nevada",2017-10-01,58,546.0,604.0,Other,64.0,,True,White,Male,36.095739,-115.171544,Mass,2017
San Francisco UPS shooting,"San Francisco, California",2017-06-14,3,2.0,5.0,Workplace,38.0,True,False,Asian,Male,37.765947,-122.406087,Mass,2017
Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",2017-06-07,3,0.0,3.0,Workplace,24.0,,,White,Male,41.529546,-75.94722,Mass,2017
Florida awning manufacturer shooting,"Orlando, Florida",2017-06-05,5,0.0,5.0,Workplace,45.0,,,,Male,28.580295,-81.294086,Mass,2017
Rural Ohio nursing home shooting,"Kirkersville, Ohio",2017-05-12,3,0.0,3.0,Workplace,43.0,True,,White,Male,39.959034,-82.596508,Mass,2017
Fresno downtown shooting,"Fresno, California",2017-04-18,3,0.0,3.0,Other,39.0,,,Black,Male,36.746378,-119.800319,Mass,2017
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",2017-01-06,5,6.0,11.0,Airport,26.0,True,True,Latino,Male,26.072751,-80.143382,Mass,2017
Cascade Mall shooting,"Burlington, Washington",2016-09-23,5,0.0,5.0,Other,20.0,True,,,Male,48.461367,-122.337918,Mass,2016
Baton Rouge police shooting,"Baton Rouge, Lousiana",2016-07-17,3,3.0,6.0,Other,29.0,True,,Black,Male,30.433601,-91.081403,Spree,2016
Dallas police shooting,"Dallas, Texas",2016-07-07,5,11.0,16.0,Other,25.0,,True,Black,Male,32.7801052,-96.8000082,Mass,2016
Orlando nightclub massacre,"Orlando, Florida",2016-06-12,49,53.0,102.0,Other,29.0,,True,Other,Male,28.519718,-81.376777,Mass,2016
Excel Industries mass shooting,"Hesston, Kansas",2016-02-25,3,14.0,17.0,Workplace,38.0,,True,Black,Male,38.135992,-97.425145,Mass,2016
Kalamazoo shooting spree,"Kalamazoo County, Michigan",2016-02-20,6,2.0,8.0,Other,45.0,,True,White,Male,42.236689,-85.674795,Mass,2016
San Bernardino mass shooting,"San Bernardino, California",2015-12-02,14,21.0,35.0,Workplace,28.0,,True,Other,Male & Female,34.075961,-117.27789,Mass,2015
Planned Parenthood clinic,"Colorado Springs, Colorado",2015-11-27,3,9.0,12.0,Workplace,57.0,,,White,Male,38.881031,-104.849057,Mass,2015
Colorado Springs shooting rampage,"Colorado Springs, Colorado",2015-10-31,3,0.0,3.0,Other,33.0,,True,White,Male,38.83755,-104.814251,Mass,2015
Umpqua Community College shooting,"Roseburg, Oregon",2015-10-01,9,9.0,18.0,School,26.0,,True,Other,Male,43.289538,-123.333193,Mass,2015
Chattanooga military recruitment center,"Chattanooga, Tennessee",2015-07-16,5,2.0,7.0,Military,24.0,,True,Other,Male,35.047157,-85.311819,Mass,2015
Charleston Church Shooting,"Charleston, South Carolina",2015-06-17,9,1.0,10.0,Religious,21.0,,True,White,Male,32.788387,-79.933143,Mass,2015
Trestle Trail bridge shooting,"Menasha, Wisconsin",2015-06-11,3,1.0,4.0,Other,27.0,True,True,Latino,Male,44.204124,-88.467541,Mass,2015
Marysville-Pilchuck High School shooting,"Marysville, Washington",2014-10-24,5,1.0,6.0,School,15.0,,False,Native American,Male,48.050824,-122.176918,Mass,2014
Isla Vista mass murder,"Santa Barbara, California",2014-05-23,6,13.0,19.0,School,22.0,True,True,White,Male,34.436283,-119.8714406,Mass,2014
Fort Hood shooting 2,"Fort Hood, Texas",2014-04-03,3,12.0,15.0,Military,34.0,,True,Latino,Male,31.141716,-97.777559,Mass,2014
Alturas tribal shooting,"Alturas, California",2014-02-20,4,2.0,6.0,Other,44.0,,,Native American,Female,41.487104,-120.542237,Spree,2014
Washington Navy Yard shooting,"Washington, D.C.",2013-09-16,12,8.0,20.0,Military,34.0,True,True,Black,Male,38.874981,-76.99453,Mass,2013
Hialeah apartment shooting,"Hialeah, Florida",2013-07-26,7,0.0,7.0,Other,42.0,,True,Latino,Male,25.864338,-80.311775,Mass,2013
Santa Monica rampage,"Santa Monica, California",2013-06-07,6,3.0,9.0,Other,23.0,True,True,White,Male,34.008617,-118.494754,Mass,2013
Pinewood Village Apartment shooting,"Federal Way, Washington",2013-04-21,5,0.0,5.0,Other,27.0,False,True,Black,Male,47.3129607,-122.3393665,Mass,2013
Mohawk Valley shootings,"Herkimer County, New York",2013-03-13,5,2.0,7.0,Other,64.0,False,True,White,Male,43.045601,-74.984891,Mass,2013
Sandy Hook Elementary massacre,"Newtown, Connecticut",2012-12-14,27,2.0,29.0,School,20.0,True,False,White,Male,41.4123225,-73.31142358,Mass,2012
Accent Signage Systems shooting,"Minneapolis, Minnesota",2012-09-27,7,1.0,8.0,Workplace,36.0,True,True,White,Male,44.977425,-93.310408,Mass,2012
